business_id,name,city,state,postal_code,categories,stars_x,review_id,stars_y,useful,funny,cool,text_count
pQeaRpvuhoEqudo3uymHIQ,The Empanadas House,Champaign,IL,61820,"Ethnic Food, Food Trucks, Specialty Food, Imported Food, Argentine, Food, Restaurants, Empanadas",4.5,2TtLt9skrBwBM6QGEhFYCg,5.0,0,0,0,29.0
pQeaRpvuhoEqudo3uymHIQ,The Empanadas House,Champaign,IL,61820,"Ethnic Food, Food Trucks, Specialty Food, Imported Food, Argentine, Food, Restaurants, Empanadas",4.5,G16jgK2n4QgEfAr4YIs0iA,5.0,0,0,0,62.0
pQeaRpvuhoEqudo3uymHIQ,The Empanadas House,Champaign,IL,61820,"Ethnic Food, Food Trucks, Specialty Food, Imported Food, Argentine, Food, Restaurants, Empanadas",4.5,EHZ9uJhGt3H3XVuR_G_ysA,2.0,0,0,0,139.0
pQeaRpvuhoEqudo3uymHIQ,The Empanadas House,Champaign,IL,61820,"Ethnic Food, Food Trucks, Specialty Food, Imported Food, Argentine, Food, Restaurants, Empanadas",4.5,sO9ujibiSiQeiHYNpuER8w,5.0,1,0,0,62.0
pQeaRpvuhoEqudo3uymHIQ,The Empanadas House,Champaign,IL,61820,"Ethnic Food, Food Trucks, Specialty Food, Imported Food, Argentine, Food, Restaurants, Empanadas",4.5,-xl-rka_yUUFVdLJsfPi4A,5.0,0,0,0,34.0
CsLQLiRoafpJPJSkNX2h5Q,Middle East Deli,Charlotte,NC,28205,"Food, Restaurants, Grocery, Middle Eastern",3.0,XyHl5E80hAAlkhOt8m4Aww,3.0,5,0,0,96.0
CsLQLiRoafpJPJSkNX2h5Q,Middle East Deli,Charlotte,NC,28205,"Food, Restaurants, Grocery, Middle Eastern",3.0,6lNhsmWPHXcEM1-puvWGuA,3.0,3,1,0,50.0
CsLQLiRoafpJPJSkNX2h5Q,Middle East Deli,Charlotte,NC,28205,"Food, Restaurants, Grocery, Middle Eastern",3.0,TNDaynUc9RyhuU3ciMhXgA,2.0,2,0,0,141.0
CsLQLiRoafpJPJSkNX2h5Q,Middle East Deli,Charlotte,NC,28205,"Food, Restaurants, Grocery, Middle Eastern",3.0,W8fi6lEdAKEJewHps0cfUw,3.0,5,6,2,70.0
CsLQLiRoafpJPJSkNX2h5Q,Middle East Deli,Charlotte,NC,28205,"Food, Restaurants, Grocery, Middle Eastern",3.0,Ycij1YnZEwEBH09X49Q3Ow,4.0,0,0,0,71.0
CsLQLiRoafpJPJSkNX2h5Q,Middle East Deli,Charlotte,NC,28205,"Food, Restaurants, Grocery, Middle Eastern",3.0,fFgNJ2x0i113750QSWFRpw,2.0,2,2,1,46.0
eBEfgOPG7pvFhb2wcG9I7w,Philthy Phillys,Aurora,ON,L4G 7J1,"Restaurants, Cheesesteaks, Poutineries",4.5,gwU0Brt7bYIgFJeBhrmmmA,5.0,0,0,0,18.0
eBEfgOPG7pvFhb2wcG9I7w,Philthy Phillys,Aurora,ON,L4G 7J1,"Restaurants, Cheesesteaks, Poutineries",4.5,wt8t7boUicBVutypSIFBfg,4.0,0,0,0,32.0
eBEfgOPG7pvFhb2wcG9I7w,Philthy Phillys,Aurora,ON,L4G 7J1,"Restaurants, Cheesesteaks, Poutineries",4.5,tZ5DuKIfUuuhxGYV7ywhvw,5.0,0,0,0,31.0
eBEfgOPG7pvFhb2wcG9I7w,Philthy Phillys,Aurora,ON,L4G 7J1,"Restaurants, Cheesesteaks, Poutineries",4.5,rqa4ZB6yz-68G5GEXuZJyA,4.0,0,0,0,183.0
lu7vtrp_bE9PnxWfA8g4Pg,Banzai Sushi,Thornhill,ON,L3T 5W4,"Japanese, Fast Food, Food Court, Restaurants",4.5,Q7iupWCt3UpRQSMKp4zO9A,4.0,1,0,0,94.0
lu7vtrp_bE9PnxWfA8g4Pg,Banzai Sushi,Thornhill,ON,L3T 5W4,"Japanese, Fast Food, Food Court, Restaurants",4.5,iHoIfTt2k3cxV2W-W5qVkw,5.0,0,0,0,17.0
lu7vtrp_bE9PnxWfA8g4Pg,Banzai Sushi,Thornhill,ON,L3T 5W4,"Japanese, Fast Food, Food Court, Restaurants",4.5,5Znyw_-c6VdaSlcogg2sQQ,3.0,1,0,1,111.0
lu7vtrp_bE9PnxWfA8g4Pg,Banzai Sushi,Thornhill,ON,L3T 5W4,"Japanese, Fast Food, Food Court, Restaurants",4.5,sZ547NjO3SeJ4mqqQrh46Q,5.0,1,0,0,18.0
lu7vtrp_bE9PnxWfA8g4Pg,Banzai Sushi,Thornhill,ON,L3T 5W4,"Japanese, Fast Food, Food Court, Restaurants",4.5,Hk8r4RURT3ZcxbE3GKHT_Q,4.0,4,0,0,123.0
lu7vtrp_bE9PnxWfA8g4Pg,Banzai Sushi,Thornhill,ON,L3T 5W4,"Japanese, Fast Food, Food Court, Restaurants",4.5,VNwY67F2oAprFVUGONqA0g,5.0,3,0,2,153.0
lu7vtrp_bE9PnxWfA8g4Pg,Banzai Sushi,Thornhill,ON,L3T 5W4,"Japanese, Fast Food, Food Court, Restaurants",4.5,9xmRYAGMXHbHmWIR5kHSyQ,5.0,0,0,0,43.0
9sRGfSVEfLhN_km60YruTA,Apadana Restaurant,Richmond Hill,ON,L4E 1A5,"Persian/Iranian, Turkish, Middle Eastern, Restaurants, Kebab",3.0,K5IE7RqJNUSlhOYHQ5DIUA,4.0,2,1,1,149.0
9sRGfSVEfLhN_km60YruTA,Apadana Restaurant,Richmond Hill,ON,L4E 1A5,"Persian/Iranian, Turkish, Middle Eastern, Restaurants, Kebab",3.0,zqMn0qEm167jXL_bH-MwGQ,2.0,0,0,0,88.0
9sRGfSVEfLhN_km60YruTA,Apadana Restaurant,Richmond Hill,ON,L4E 1A5,"Persian/Iranian, Turkish, Middle Eastern, Restaurants, Kebab",3.0,vpoTuI5J1HGeReHYUAMAsQ,3.0,0,0,0,89.0
vjTVxnsQEZ34XjYNS-XUpA,Wetzel's Pretzels,Phoenix,AZ,85032,"Food, Pretzels, Bakeries, Fast Food, Restaurants",4.0,LyxX4jQXCj6p7ood9Y_ung,5.0,1,0,1,44.0
